t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -7.6964, -29.0381, 0.00756972, 0.00353604, -0.791389, 0.611255, 13.7596, 0, 0, 0.00726598, -0, -0
0, 0, -7.8373, -29.5764, 0.0075996, 0.00294735, -0.791431, 0.611204, 13.7596, 0, 0, -0.00396366, -0, -0
0, 0, -7.97978, -30.1207, 0.00686251, 0.0023247, -0.791431, 0.611215, 14.1174, 0, 0, -0.011184, -0, -0
0, 0, -8.2322, -31.0854, 0.00479431, 0.00107345, -0.791423, 0.61125, 14.1174, 0, 0, -0.0335229, -0, -0
0, 0, -8.37815, -31.6434, 0.00320496, -8.6852e-05, -0.791435, 0.611246, 14.4061, 0, 0, -0.0311036, -0, -0
0, 0, -8.63664, -32.6313, 0.00278602, -0.00101895, -0.791389, 0.611305, 14.4061, 0, 0, 0.00218077, -0, -0
0, 0, -8.78606, -33.2024, 0.00283916, -0.000989264, -0.791359, 0.611345, 14.6811, 0, 0, 0.000885325, -0, -0
0, 0, -8.93668, -33.7782, 0.00288512, -0.000944796, -0.791334, 0.611376, 14.6811, 0, 0, -0.000308484, -0, -0
0, 0, -9.08819, -34.3584, 0.00283369, -0.000103695, -0.79121, 0.611538, 14.9738, 0, 0, -0.0347053, -0, -0
0, 0, -9.31712, -35.2374, 0.00266847, 0.00151883, -0.79086, 0.611989, 14.9738, 0, 0, -0.0379483, -0, -0
0, 0, -9.50933, -35.9776, 0.00341956, 0.002533, -0.790573, 0.612353, 15.2648, 0, 0, 0.012303, -0, -0
0, 0, -9.74198, -36.8756, 0.00423348, 0.00373034, -0.79029, 0.612707, 15.5696, 0, 0, -0.0300097, -0, -0
0, 0, -9.93734, -37.6323, 0.00409205, 0.00505728, -0.790196, 0.61282, 15.5696, 0, 0, -0.0387554, -0, -0
0, 0, -10.174, -38.5518, 0.00324065, 0.00521152, -0.790268, 0.612731, 15.8821, 0, 0, -0.0147574, -0, -0
0, 0, -10.3733, -39.3269, 0.00222335, 0.00441886, -0.79032, 0.612675, 15.8821, 0, 0, -0.0123214, -0, -0
0, 0, -10.5745, -40.1096, 0.00120877, 0.00361094, -0.790335, 0.612663, 16.1661, 0, 0, -0.0122866, -0, -0
0, 0, -10.8186, -41.059, 0.000633895, 0.00300906, -0.790312, 0.612698, 16.1661, 0, 0, 0.00157783, -0, -0
0, 0, -10.983, -41.698, 0.000644475, 0.00300381, -0.790298, 0.612715, 16.4796, 0, 0, -0.000973612, -0, -0
0, 0, -11.1511, -42.3411, 0.000568248, 0.00314257, -0.790827, 0.612031, 16.4796, 0, 0, -0.0101223, -0, -0
0, 0, -11.3261, -42.9873, 0.000415668, 0.00320598, -0.792547, 0.609802, 16.753, 0, 0, -0.00825813, -0.0645705, -0
0, 0, -11.5107, -43.6355, 0.000192054, 0.00328393, -0.795868, 0.605461, 16.753, 0, 0, -0.0155686, -0.0645705, -0
0, 0, -11.6571, -44.1221, -4.70132e-05, 0.00340223, -0.799519, 0.600631, 16.753, 0, 0, -0.022073, -0.0645705, -0
0, 0, -11.8612, -44.7723, -0.000481069, 0.00352876, -0.80514, 0.593074, 17.0219, 0, 0, -0.0202738, -0.093019, -0
0, 0, -12.0729, -45.4249, -0.000716384, 0.00347434, -0.810546, 0.585665, 17.0219, 0, 0, -0.000158778, -0.093019, -0
0, 0, -12.2355, -45.9163, -0.00073402, 0.00331936, -0.813995, 0.580862, 17.2861, 0, 0, 0.0055889, -0.0246815, -0
0, 0, -12.4009, -46.4096, -0.000707686, 0.00310902, -0.816774, 0.576949, 17.2861, 0, 0, 0.0100401, -0.0246815, -0
0, 0, -12.6819, -47.2337, 0.000838041, 0.00454602, -0.819901, 0.572487, 17.2861, 0, 0, 0.0344285, -0.0246815, -0
0, 0, -12.9126, -47.8959, 0.00274798, 0.00591645, -0.821513, 0.570152, 17.5452, 0, 0, 0.0399221, -0, -0
0, 0, -13.2088, -48.7282, 0.00518377, 0.0075702, -0.822833, 0.568209, 17.5452, 0, 0, 0.0428313, -0, -0
0, 0, -13.3903, -49.2301, 0.00623399, 0.00857813, -0.82342, 0.567334, 17.8268, 0, 0, -0.00657057, -0, -0
0, 0, -13.6359, -49.9028, 0.00638824, 0.00881129, -0.824225, 0.566158, 17.8268, 0, 0, 0.000214161, -0, -0
0, 0, -13.8861, -50.579, 0.00637421, 0.00873197, -0.824836, 0.565268, 17.8268, 0, 0, 0.00160446, -0, -0
0, 0, -14.0766, -51.0885, 0.00636721, 0.00864909, -0.825177, 0.564772, 18.1369, 0, 0, 0.00263339, -0, -0
0, 0, -14.2695, -51.6002, 0.00637055, 0.00854485, -0.825443, 0.564384, 18.1369, 0, 0, 0.00516917, -0, -0
0, 0, -14.595, -52.4587, 0.00645722, 0.0078536, -0.825673, 0.564057, 18.4324, 0, 0, 0.0243331, 0.024377, -0
0, 0, -14.7907, -52.9778, 0.00659536, 0.00727955, -0.825322, 0.564577, 18.4324, 0, 0, 0.0320995, 0.024377, -0
0, 0, -15.1127, -53.8514, 0.00673208, 0.00623102, -0.823085, 0.567844, 18.4324, 0, 0, 0.0233546, 0.024377, -0
0, 0, -15.3028, -54.3809, 0.00672367, 0.00567232, -0.820799, 0.571149, 18.7231, 0, 0, 0.0273344, 0.0703607, -0
0, 0, -15.4922, -54.9138, 0.00683358, 0.00513462, -0.81832, 0.5747, 18.7231, 0, 0, 0.0274216, 0.0703607, -0
0, 0, -15.8084, -55.8074, 0.00779485, 0.00501251, -0.814656, 0.57987, 18.9895, 0, 0, 0.0398854, 0.00223606, -0
0, 0, -15.9988, -56.3473, 0.0085069, 0.0052475, -0.813002, 0.582176, 18.9895, 0, 0, 0.0283487, 0.00223606, -0
0, 0, -16.1891, -56.8905, 0.00926179, 0.00557669, -0.811694, 0.583983, 18.9895, 0, 0, 0.0307331, 0.00223606, -0
0, 0, -16.5055, -57.8029, 0.010361, 0.00602328, -0.810081, 0.586196, 19.318, 0, 0, 0.0161075, -0, -0
0, 0, -16.6948, -58.3545, 0.0105432, 0.0060295, -0.809319, 0.587244, 19.318, 0, 0, 0.0089182, -0, -0
0, 0, -16.8835, -58.9093, 0.0106647, 0.00601956, -0.80871, 0.58808, 19.5389, 0, 0, 0.00723888, -0, -0
0, 0, -17.0715, -59.4674, 0.0107772, 0.00595477, -0.808228, 0.58874, 19.5389, 0, 0, 0.00981481, -0, -0
0, 0, -17.3215, -60.2166, 0.0109127, 0.00584428, -0.807726, 0.589428, 19.5389, 0, 0, 0.0086809, -0, -0
0, 0, -17.5086, -60.7821, 0.0109707, 0.0057918, -0.807427, 0.589838, 19.8614, 0, 0, 0.00292726, -0, -0
0, 0, -17.7577, -61.5409, 0.0109616, 0.00577338, -0.807109, 0.590272, 19.8614, 0, 0, -0.000408246, -0, -0
