t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -13.9, -22.2335, -0.000670612, 0.000632312, 0.874782, -0.484516, 11.4298, 0, 0, 0.00526516, -0, -0
0, 0, -14.269, -22.8234, -0.000853449, 0.00041345, 0.87483, -0.484429, 11.5594, 0, 0, -0.00464929, -0, -0
0, 0, -14.5803, -23.3209, -0.000861472, 0.000152537, 0.874839, -0.484413, 11.6863, 0, 0, -0.0047778, -0, -0
0, 0, -14.8954, -23.8238, -0.000840651, -0.000163157, 0.874895, -0.484312, 11.8166, 0, 0, -0.0118334, -0, -0
0, 0, -15.2192, -24.3286, -0.000649126, -0.000805978, 0.876087, -0.482152, 11.9472, 0, 0, -0.0237746, -0.0442449, -0
0, 0, -15.5556, -24.8319, -0.000522086, -0.00115564, 0.879069, -0.476693, 12.0837, 0, 0, -0.0014888, -0.10518, -0
0, 0, -15.898, -25.3389, -0.000605887, -0.000997154, 0.881672, -0.471861, 12.2107, 0, 0, 0.00894197, -0.0355381, -0
0, 0, -16.243, -25.8521, -0.000675768, -0.000863946, 0.883041, -0.469295, 12.3414, 0, 0, 0.00313872, -0, -0
0, 0, -16.592, -26.3704, -0.00070508, -0.000806772, 0.883742, -0.467973, 12.4712, 0, 0, 0.00159099, -0, -0
0, 0, -16.9471, -26.8924, -0.000633411, -0.00094685, 0.884432, -0.466668, 12.6006, 0, 0, -0.0112623, -0.0134644, -0
0, 0, -17.2393, -27.3094, -0.000506708, -0.00120961, 0.885939, -0.4638, 12.7199, 0, 0, -0.00658316, -0.0879223, -0
0, 0, -17.5367, -27.7276, -0.000538865, -0.00115509, 0.887645, -0.460526, 12.8437, 0, 0, 0.00673857, -0.0164908, -0
0, 0, -17.9116, -28.2554, -0.000623386, -0.000993946, 0.888946, -0.458011, 12.9731, 0, 0, 0.00405126, -0, -0
0, 0, -18.2143, -28.6813, -0.000657832, -0.000927935, 0.889525, -0.456885, 13.1023, 0, 0, 0.00249907, -0, -0
0, 0, -18.5201, -29.1102, -0.000681823, -0.000881293, 0.889878, -0.456198, 13.1023, 0, 0, 0.00190611, -0, -0
0, 0, -18.8289, -29.542, -0.000701582, -0.00084194, 0.890095, -0.455773, 13.2324, 0, 0, 0.00168709, -0, -0
0, 0, -19.219, -30.0861, -0.000724472, -0.000796355, 0.890257, -0.455458, 13.364, 0, 0, 0.00161802, -0, -0
0, 0, -19.5343, -30.5249, -0.000742724, -0.000761876, 0.890334, -0.455307, 13.4956, 0, 0, 0.0015884, -0, -0
0, 0, -19.8524, -30.9669, -0.000761231, -0.000729301, 0.890384, -0.45521, 13.6256, 0, 0, 0.00153439, -0, -0
0, 0, -20.1732, -31.412, -0.000779288, -0.000698908, 0.890415, -0.455148, 13.7542, 0, 0, 0.00145913, -0, -0
0, 0, -20.5778, -31.9728, -0.00080044, -0.000664001, 0.890439, -0.455102, 13.7542, 0, 0, 0.00132572, -0, -0
0, 0, -20.9043, -32.4252, -0.000736317, -0.000595535, 0.89045, -0.45508, 13.9084, 0, 0, -0.00455449, -0, -0
0, 0, -21.2333, -32.8808, -0.00054352, -0.000467382, 0.890458, -0.455066, 14.0365, 0, 0, -0.00595576, -0, -0
0, 0, -21.6481, -33.4549, -0.00028858, -0.000304602, 0.890463, -0.455055, 14.1647, 0, 0, -0.0062003, -0, -0
0, 0, -21.9826, -33.9178, -8.24686e-05, -0.0001768, 0.890466, -0.45505, 14.2923, 0, 0, -0.00632335, -0, -0
0, 0, -22.3196, -34.3841, 0.000125133, -5.1224e-05, 0.890467, -0.455047, 14.4198, 0, 0, -0.00643053, -0, -0
0, 0, -22.6591, -34.8537, 0.000223888, 1.90744e-05, 0.890469, -0.455045, 14.4198, 0, 0, 0.000602984, -0, -0
0, 0, -23.0868, -35.4456, 0.000207495, 2.86214e-05, 0.89047, -0.455042, 14.5538, 0, 0, 0.000656015, -0, -0
0, 0, -23.4318, -35.9228, 0.000198007, 3.56839e-05, 0.890472, -0.455038, 14.6821, 0, 0, 0.000535002, -0, -0
0, 0, -23.7789, -36.4035, 0.000163076, 9.37073e-05, 0.890416, -0.455147, 14.8113, 0, 0, 0.00703851, 0.00516329, -0
0, 0, -24.2108, -37.0126, -6.30729e-05, 0.000502399, 0.889226, -0.457468, 14.9348, 0, 0, 0.0204516, 0.0740866, -0
0, 0, -24.5515, -37.508, -0.00020498, 0.000741964, 0.886922, -0.461918, 15.0434, 0, 0, 0.00405531, 0.0658693, -0
0, 0, -24.8924, -38.0082, -0.000172921, 0.000667451, 0.884683, -0.466192, 15.1695, 0, 0, -0.00674692, -0, -0
0, 0, -25.2357, -38.5115, -0.000123432, 0.000564832, 0.88318, -0.469034, 15.1695, 0, 0, -0.0030449, -0, -0
0, 0, -25.6672, -39.146, -0.000104794, 0.000521108, 0.882035, -0.471184, 15.3213, 0, 0, -0.000895443, -0, -0
0, 0, -26.0137, -39.6582, -9.95025e-05, 0.000505055, 0.881478, -0.472225, 15.4475, 0, 0, -0.000560132, -0, -0
0, 0, -26.3613, -40.1746, -9.4289e-05, 0.000489567, 0.881117, -0.472898, 15.5736, 0, 0, -0.000667608, -0, -0
0, 0, -26.7101, -40.695, -8.66875e-05, 0.000469787, 0.880882, -0.473335, 15.6997, 0, 0, -0.000913444, -0, -0
0, 0, -27.148, -41.351, -7.33398e-05, 0.000438105, 0.880699, -0.473677, 15.826, 0, 0, -0.00117942, -0, -0
0, 0, -27.5, -41.8802, -6.03292e-05, 0.000408523, 0.880607, -0.473848, 15.826, 0, 0, -0.00132579, -0, -0
0, 0, -27.8537, -42.4131, -4.61694e-05, 0.000376842, 0.880545, -0.473962, 15.9523, 0, 0, -0.00139709, -0, -0
0, 0, -28.2092, -42.9497, -3.16631e-05, 0.000344594, 0.880504, -0.474038, 16.0788, 0, 0, -0.0014035, -0, -0
0, 0, -28.6563, -43.6255, -1.39829e-05, 0.000305208, 0.880471, -0.4741, 16.2054, 0, 0, -0.0013327, -0, -0
0, 0, -29.0162, -44.17, -7.41333e-07, 0.000275405, 0.880454, -0.474132, 16.3321, 0, 0, -0.00125415, -0, -0
0, 0, -29.3782, -44.7181, 1.13919e-05, 0.0002477, 0.880442, -0.474153, 16.459, 0, 0, -0.00113763, -0, -0
0, 0, -29.7423, -45.2697, 2.22977e-05, 0.000222268, 0.880434, -0.474168, 16.586, 0, 0, -0.00103964, -0, -0
0, 0, -30.2004, -45.9641, 3.40864e-05, 0.000193885, 0.880428, -0.474181, 16.586, 0, 0, -0.00088738, -0, -0
0, 0, -30.4769, -46.3833, 4.02816e-05, 0.000178614, 0.880425, -0.474186, 16.7131, 0, 0, -0.000818441, -0, -0
0, 0, -30.8474, -46.9452, 4.73913e-05, 0.000160312, 0.880422, -0.474191, 16.8405, 0, 0, -0.000706461, -0, -0
0, 0, -31.1268, -47.3689, 5.20572e-05, 0.00014798, 0.880421, -0.474193, 16.8405, 0, 0, -0.000641638, -0, -0
0, 0, -31.4074, -47.7946, 5.6047e-05, 0.000136825, 0.88042, -0.474196, 16.9681, 0, 0, -0.000571723, -0, -0
0, 0, -31.7835, -48.365, 6.05304e-05, 0.000123529, 0.880418, -0.474198, 17.0959, 0, 0, -0.000478032, -0, -0
0, 0, -32.067, -48.7952, 6.32927e-05, 0.000114624, 0.880418, -0.474199, 17.0959, 0, 0, -0.00043472, -0, -0
0, 0, -32.3518, -49.2273, 6.5621e-05, 0.000106597, 0.880417, -0.4742, 17.2238, 0, 0, -0.000365216, -0, -0
0, 0, -32.7335, -49.8064, 6.81039e-05, 9.70621e-05, 0.880417, -0.474201, 17.3778, 0, 0, -0.000314383, -0, -0
0, 0, -33.0212, -50.243, 6.95605e-05, 9.07796e-05, 0.880416, -0.474202, 17.3778, 0, 0, -0.000268149, -0, -0
0, 0, -33.4069, -50.8281, 7.1045e-05, 8.33498e-05, 0.880416, -0.474203, 17.5064, 0, 0, -0.000228619, -0, -0
0, 0, -33.6976, -51.2692, 7.1764e-05, 7.84474e-05, 0.880415, -0.474203, 17.6354, 0, 0, -0.00018924, -0, -0
0, 0, -33.9895, -51.7123, 7.22278e-05, 7.38989e-05, 0.880415, -0.474204, 17.6354, 0, 0, -0.000160218, -0, -0
0, 0, -34.2828, -52.1572, 7.21701e-05, 6.9612e-05, 0.880415, -0.474205, 17.7647, 0, 0, -0.000125143, -0, -0
0, 0, -34.6758, -52.7536, 7.16019e-05, 6.4674e-05, 0.880414, -0.474205, 17.8943, 0, 0, -6.74e-05, -0, -0
0, 0, -34.9721, -53.2032, 7.10376e-05, 6.16806e-05, 0.880414, -0.474206, 17.8943, 0, 0, -5.75431e-05, -0, -0
0, 0, -35.2696, -53.6547, 7.03707e-05, 5.89834e-05, 0.880414, -0.474207, 18.0243, 0, 0, -4.39468e-05, -0, -0
0, 0, -35.6683, -54.2597, 6.94823e-05, 5.57413e-05, 0.880413, -0.474207, 18.1549, 0, 0, -4.35383e-05, -0, -0
0, 0, -35.9689, -54.7158, 6.89868e-05, 5.38981e-05, 0.880413, -0.474208, 18.1549, 0, 0, -2.65106e-05, -0, -0
0, 0, -36.2708, -55.1739, 6.83256e-05, 5.23035e-05, 0.880412, -0.474209, 18.2858, 0, 0, 1.42147e-07, -0, -0
0, 0, -36.6753, -55.7877, 6.68764e-05, 5.06548e-05, 0.880412, -0.47421, 18.4172, 0, 0, 2.9522e-05, -0, -0
0, 0, -36.9802, -56.2504, 6.57085e-05, 4.95919e-05, 0.880411, -0.474211, 18.4172, 0, 0, 4.35901e-05, -0, -0
0, 0, -37.2864, -56.715, 6.45034e-05, 4.86315e-05, 0.880411, -0.474212, 18.549, 0, 0, 3.64946e-05, -0, -0
0, 0, -37.5939, -57.1816, 6.34044e-05, 4.76953e-05, 0.88041, -0.474213, 18.549, 0, 0, 1.91741e-05, -0, -0
0, 0, -38.006, -57.8069, 6.22198e-05, 4.6449e-05, 0.88041, -0.474214, 18.6814, 0, 0, 2.48472e-05, -0, -0
0, 0, -38.3165, -58.2782, 6.1309e-05, 4.5687e-05, 0.880409, -0.474214, 18.8145, 0, 0, 2.55943e-05, -0, -0
0, 0, -38.7327, -58.9097, 6.00275e-05, 4.47582e-05, 0.880409, -0.474215, 18.8145, 0, 0, 4.10485e-05, -0, -0
0, 0, -39.0464, -59.3857, 5.90496e-05, 4.41061e-05, 0.880409, -0.474216, 18.9482, 0, 0, 4.15792e-05, -0, -0
0, 0, -39.3614, -59.8637, 5.80438e-05, 4.30535e-05, 0.880408, -0.474217, 19.0823, 0, 0, 2.69517e-05, -0, -0
0, 0, -39.7834, -60.5043, 5.66151e-05, 4.17327e-05, 0.880408, -0.474217, 19.0823, 0, 0, 2.37178e-05, -0, -0
0, 0, -40.1016, -60.987, 5.55441e-05, 4.08766e-05, 0.880407, -0.474218, 19.2171, 0, 0, 5.16872e-05, -0, -0
0, 0, -40.421, -61.4718, 5.45438e-05, 3.99497e-05, 0.880407, -0.474219, 19.3798, 0, 0, 2.61834e-05, -0, -0
0, 0, -40.8491, -62.1214, 5.31822e-05, 3.88868e-05, 0.880406, -0.47422, 19.3798, 0, 0, 2.68007e-05, -0, -0
0, 0, -41.1717, -62.611, 5.21522e-05, 3.8149e-05, 0.880406, -0.474221, 19.5163, 0, 0, 4.92723e-05, -0, -0
0, 0, -41.604, -63.2669, 5.07738e-05, 3.71085e-05, 0.880405, -0.474222, 19.6535, 0, 0, 4.26876e-05, -0, -0
0, 0, -41.9297, -63.7613, 4.97382e-05, 3.63483e-05, 0.880405, -0.474223, 19.6535, 0, 0, 2.81453e-05, -0, -0
0, 0, -42.2569, -64.2578, 4.86132e-05, 3.56896e-05, 0.880404, -0.474224, 19.7914, 0, 0, 5.72676e-05, -0, -0
0, 0, -42.6953, -64.923, 4.72572e-05, 3.47115e-05, 0.880404, -0.474225, 19.93, 0, 0, 2.74321e-05, -0, -0
