t_sec, t_nanosec, x, y, orientation_x, orientation_y, orientation_z, orientation_w, longitudinal_velocity_mps, lateral_velocity_mps, acceleration_mps2, heading_rate_rps, front_wheel_angle_rad, rear_wheel_angle_rad
0, 0, -19.2919, 11.1844, -0.00287929, -0.00983063, 0.918748, 0.394711, 5.09476, 0, 0, -0.0633883, -0, -0
0, 0, -19.6413, 11.5532, -0.00106914, -0.00894185, 0.919063, 0.394009, 5.08034, 0, 0, -0.0234985, -0, -0
0, 0, -19.9919, 11.9182, 0.000793401, -0.0107249, 0.919229, 0.393577, 5.06303, 0, 0, -0.0185651, -0, -0
0, 0, -20.3402, 12.2783, -0.00222437, -0.0153922, 0.919178, 0.393536, 5.04676, 0, 0, 0.321543, -0, -0
0, 0, -20.7402, 12.6943, -0.0127328, -0.0215526, 0.918051, 0.395671, 4.74, 0, 0, 0.327762, -0, -0
0, 0, -21.1684, 13.1494, -0.0206349, -0.0128146, 0.918762, 0.394063, 4.41337, 0, 0, -0.0194672, -0, -0
0, 0, -21.5392, 13.5523, -0.0223919, -0.00890089, 0.916675, 0.398905, 4.10105, 0, 0, -0.0141311, -0, -0
0, 0, -21.9852, 14.0276, -0.0222905, -0.00748951, 0.916732, 0.398809, 4.40977, 0, 0, -0.0169108, -0, -0
0, 0, -22.3404, 14.4081, -0.0222595, -0.00438323, 0.916504, 0.399381, 4.69885, 0, 0, -0.0207625, -0, -0
0, 0, -22.7446, 14.8482, -0.0164101, -0.0120414, 0.917897, 0.396297, 5.10177, 0, 0, 0.0389698, -0, -0
0, 0, -23.1363, 15.2636, -0.0113708, -0.0163308, 0.916934, 0.398542, 5.03155, 0, 0, -0.217934, -0, -0
0, 0, -23.5295, 15.6905, -0.0106284, -0.0155617, 0.91657, 0.39943, 5.33866, 0, 0, 0.0153172, -0, -0
0, 0, -23.8719, 16.0586, -0.0116127, -0.0145244, 0.9163, 0.400061, 5.61551, 0, 0, -0.040267, -0, -0
0, 0, -24.3123, 16.5354, -0.0103878, -0.0101524, 0.916371, 0.400066, 5.89845, 0, 0, -0.0496493, -0, -0
0, 0, -24.6917, 16.9465, -0.00917774, -0.00826191, 0.916316, 0.400266, 6.21589, 0, 0, -0.0412187, -0, -0
0, 0, -25.0435, 17.3272, -0.00911964, -0.00724853, 0.916208, 0.400535, 6.49604, 0, 0, -0.00428761, -0, -0
0, 0, -25.4049, 17.7274, -0.00948427, -0.0067429, 0.915223, 0.40278, 6.78907, 0, 0, 0.00845573, -0.0525269, -0
